"product id","product title","product urls"
2946,"Lenovo IdeaPad D330 Intel Celeron N4020 10.1"" (25cm)HD IPS Detachable 2-in-1 Laptop (4GB/128GB eMMC/Windows 10/1 Yr Warranty/Mineral Grey/1.1Kg), 82H0001YIN","[['https://www.amazon.in/Lenovo-IdeaPad-Detachable-Warranty-82H0001YIN/dp/B09SV2B5SR'], ['https://www.flipkart.com/lenovo-tab-ideapad-d330-4-gb-128-wi-fi-keyboard-active-pen-windows-pro-os-4-gb-ram-rom-10-1-inches-wi-fi-only-tablet-mineral-grey/p/itm067212cb9f418']]"
2948,"Lenovo IdeaPad Flex 5 Intel Core i7 11th Gen 14"" (35.56cm) FHD IPS 2-in-1 Convertible Touchscreen Laptop (16GB/512GB SDD/Win11/Office 2021/Backlit/FPR/3months Game Pass/Graphite Grey/1.5Kg),82HS018XIN",[['https://www.amazon.in/Lenovo-Convertible-Touchscreen-Graphite-82HS018XIN/dp/B09QT7XCKZ']]
2949,"Dell 2in1 Inspiron 7420 Laptop - Intel i3-1215U, 8GB, 256GB, Windows 11+MSO'21, 14.0""/35.56Cms FHD+ WVA Touch 250 nits Narrow Border, Backlit KB and FPR (Platinum Silver, D560780WIN9S, 1.57Kgs)","[['https://www.amazon.in/Dell-Inspiron-7420-2in1-Laptop/dp/B0B2WR863N'], ['https://www.amazon.in/Dell-Inspiron-7420-i5-1235U-D560778WIN9S/dp/B0B467R5NM'], ['https://www.reliancedigital.in/dell-inspiron-7420-2-in-1-convertible-laptop-12th-gen-intel-core-i5-1235u-16-gb-512-gb-ssd-integrated-graphics-windows-11-home-mso-fhd-plus-35-56-cm-14-inch-/p/493177304']]"
2955,"HP Envy 13 X360 AMD Ryzen 5 5600U 13.3 inch(33.8 cm) FHD 1000 Nits Gorilla Glass Touch 2-in-1 Laptop(8GB RAM/512GB SSD/B&O/AMD Radeon Graphics/Win 11/Fast Charge/MSO/Alexa/Pen/FPR/1.32 Kg,13-ay1062AU","[['https://www.hp.com/in-en/shop/hp-envy-x360-convert-13-ay1062au-6f8v1pa.html'], ['https://www.flipkart.com/hp-ryzen-5-hexa-core-5600u-8-gb-512-gb-ssd-windows-11-home-x360-ay1062au-thin-light-laptop/p/itm5b474cbb1a58e']]"
2956,HP Pavilion x360 11th Gen Intel Core i5 14 inch(35.6 cm) FHD Multitouch 2-in-1 Laptop(16GB RAM/512GB SSD/B&O/Win 11/FPR/Backlit KB/Intel Iris Xe Graphics/Alexa/Pen/MS Office/Silver/1.52Kg) 14-dy1048TU,"[['https://www.amazon.in/HP-Pavilion-Multitouch-Graphics-14-dy1048TU/dp/B09VQ4ZT6G'], ['https://www.flipkart.com/hp-pavilion-intel-core-i5-11th-gen-16-gb-512-gb-ssd-windows-11-home-14-dy1048tu-thin-light-laptop/p/itmcfad46a5360de'], ['https://support.hp.com/za-en/document/c08158304']]"
2959,"ASUS VivoBook Flip 14 (2021), 14-inch (35.56 cm) FHD Touch, Intel Core i3-1115G4 11th Gen, 2-in-1 Laptop (8GB RAM/256GB SSD/Office 2021/Windows 11/Integrated Graphics/Black/1.5 Kg), TP470EA-EC302WS",[['https://www.flipkart.com/asus-vivobook-flip-14-core-i3-11th-gen-8-gb-256-gb-ssd-windows-11-home-tp470ea-ec301ws-2-1-laptop/p/itma917de411489d']]
2962,"HP Chromebook X360 Intel Celeron N4020 14 inch(35.6 cm) Micro-Edge, Touchscreen, 2-in-1 Laptop (4GB RAM/64GB eMMC/Chrome OS/Intel UHD Graphics,1.49Kg), 14a-ca0506TU",[['https://www.flipkart.com/hp-chromebook-x360-intel-celeron-dual-core-4-gb-64-gb-emmc-storage-chrome-os-14a-ca0506tu-thin-light-laptop/p/itmdf57346a9ffeb']]
2963,Hp Pavilion X360 11Th Gen Intel Core I3 14 Inches Fhd Multitouch 2-in-1 Laptop(8Gb Ram/512Gb Ssd/B&O/Windows 11 Home/Fpr/Backlit Kb/Pen/Alexa/Uhd Graphics/Ms Office/Natural Silver/1.52Kg) 14-Dy0207Tu,"[['https://www.vijaysales.com/hp-pavilion-x360-convertible-14-dy0207tu-laptop-11th-gen-core-i3-8gb-ram-512-gb-ssd-14-inch-35-6-cm-display-integrated-graphics-win-11-mso/20827'], ['https://www.flipkart.com/hp-pavilion-intel-core-i3-11th-gen-8-gb-512-gb-ssd-windows-11-home-14-dy0207tu-thin-light-laptop/p/itm787c743bd98ef'], ['https://www.hp.com/in-en/shop/hp-pavilion-x360-convertible-14-dy0207tu-67g60pa.html'], ['https://www.hp.com/in-en/shop/laptops/personal-laptops/pavilion-laptops/hp-pavilion-x360-convertible-14-dy0207tu-67g60pa.html?bvstate=pg:2/ct:r']]"
2964,Hp Envy 13 X360 Amd Ryzen 5 5600U 13.3 Inches Fhd 400 Nits Gorilla Glass Touch 2In1 Laptop(16Gb/512Gb Ssd/B&O Audio/Windows 11 Home/Fast Charge/Ms Office/Alexa/Pen/Fpr/1.32 Kg/Nightfall Black)Ay1035Au,[['https://www.amazon.in/Inches-Gorilla-Windows-Nightfall-Ay1035Au/dp/B09Q3J26DV']]
2971,Acer Extensa 15 Lightweight Laptop Intel Core i3 11th Gen Processor - (8 GB/ 512 GB SSD/ Windows 11 Home/ 1.7kg/ Black/ Elevated Hinge Design) EX215-54 with 39.6 cm (15.6 inches) FHD Display,[]
43766,HP Dual Core 3050U 15s- eq1559AU (15.6 inch)(8GB RAM 512GB SSD)(AMD Athlon)(Jet black),[]
43768,Acer Aspire 7 NH.QAYSI.004 (A715-42G-R2NE)(15.6 inch)(8GB RAM 512GB SSD)(AMD Ryzen)(Black),[]
43774,ASUS VivoBook 15 (2022) X515JA-EJ362WS(X515JA-EJ362WS | X515JA-EJ392WS)(15.6 inch)(8GB RAM 512GB SSD)(Intel Core i3)(Transparent Silver),[]
43777,HP Laptop 15s 15s-fr2511TU (15.6 Inch)(8GB RAM 512GB SSD)(Intel Core i3)(Natural Silver),[]
43778,HP 3050U 255 G8 Notebook (15.6 inch)(4GB RAM 256GB SSD)(Athlon Dual Core)( Black),"[['https://www.amazon.in/HP-255-AMD-Athlon-3050/dp/B0B5X2G37Q'], ['https://www.flipkart.com/hp-athlon-dual-core-3050u-4-gb-256-gb-ssd-dos-255-g8-notebook/p/itm059928ca47cfe'], ['https://www.hp.com/in-en/shop/tech-takes/post/best-hp-laptops-for-programming'], ['https://www.hp.com/sg-en/shop/tech-takes/post/how-to-find-hp-laptop-model-number']]"
43779,LENOVO IdeaPad 3 15IGL05 (81WQ00MQIN)(15.6 Inch)(8GB RAM 256GB SSD)(Intel Celeron Dual Core)(Platinum Grey),"[['https://www.amazon.in/Lenovo-IdeaPad-Warranty-Platinum-81WQ00MQIN/dp/B09YJ1Q16L'], ['https://www.flipkart.com/lenovo-intel-celeron-dual-core-8-gb-256-gb-ssd-windows-11-home-81wq00mqin-81wq00nxin-laptop/p/itm2560cd9192f02'], ['https://www.croma.com/lenovo-ideapad-3-15igl05-intel-celeron-15-6-inch-8gb-256gb-windows-11-ms-office-2021-intel-uhd-graphics-fhd-display-platinum-grey-81wq00mqin-/p/252373'], ['https://www.vijaysales.com/lenovo-ideapad-3-15igl05-81wq00mqin-laptop-intel-celeron-8-gb-ram-256-gb-ssd-15-6-inch-39-62cm-hd-display-intel-uhd-graphics-win-11/20720'], ['https://www.reliancedigital.in/lenovo-ideapad-3-mqin-laptop-intel-celeron-n4020-8-gb-256-gb-ssd-intel-uhd-graphics-600-windows-11-mso-full-hd-39-62-cm-15-6-inch-/p/492850233']]"
43782,HP Pavilion 15-EC2145AX  (15.6 inch)(8GB RAM 512GB SSD)(Ryzen 5 Hexa Core)( Shadow Black & Ultra Violet),[]
43791,HP 14s Intel 14s- dy5005TU (14 inch)(16GB RAM 512GB SSD)( Intel Core i5)( Natural Silver),[]
43792,ASUS VivoBook 15 (2022) X515JA-EJ562WS(X515JA-EJ562WS | X515JA-EJ592WS)(15.6 inch)(8GB RAM 512GB SSD)(Intel Core i5)(Transparent Silver),[]
43798,acer Aspire 7 A715-42G (15.6 inch)(8GB RAM 512GB SSD)(Ryzen 5 Hexa Core)(Black),[]
43803,HP 14s Intel 14s - dy2508TU (14 inch)(8GB RAM 512GB SSD)( Intel Core i5)(Natural Silver),[]
43819,"RedmiBook Pro Core i5 11th Gen - (8 GB/512 GB SSD/Windows 10 Home) Thin and Light Laptop(15.6 inch, Charcoal Gray, 1.8 kg, With MS Office)",[['https://www.flipkart.com/redmibook-pro-core-i5-11th-gen-8-gb-512-gb-ssd-windows-11-home-thin-light-laptop/p/itm436427e982703']]
43823,HP 3250U 15s-ey1508AU (15.6 inch)(8GB RAM 256GB SSD)(Ryzen 3 Dual Core)(Jet black),[]
43826,"ASUS VivoBook 14 (2021) Celeron Dual Core - (4 GB/256 GB SSD/Windows 11 Home) X415MA-BV011W Thin and Light Laptop(14 inch, Transparent Silver, 1.60 kg)","[['https://www.flipkart.com/asus-vivobook-14-2021-celeron-dual-core-4-gb-256-gb-ssd-windows-11-home-x415ma-bv011w-thin-light-laptop/p/itm8f9bebd99f5c0'], ['https://www.amazon.in/ASUS-VivoBook-i5-1035G1-Integrated-X415JA-EB521WS/dp/B09VNZNF9L']]"
43838,ASUS VivoBook 15 (2022) K513EA-L312WS (15.6 inch)(8GB RAM 256GB SSD 1TB HDD)(Intel Core i3)(Transparent Silver),[['https://www.flipkart.com/asus-vivobook-15-2022-core-i3-11th-gen-8-gb-1-tb-hdd-256-gb-ssd-windows-11-home-x515ea-ej332ws-thin-light-laptop/p/itm8f93c38e258e0']]
43843,ASUS VivoBook K15 OLED (2022) K513EA-L312WS (15.6 inch)(8GB RAM 512GB SSD)(Intel Core i3)(Indie Black),"[['https://www.flipkart.com/asus-vivobook-k15-oled-2022-core-i3-11th-gen-8-gb-512-gb-ssd-windows-11-home-k513ea-l312ws-thin-light-laptop/p/itm43432ba02fc87'], ['https://www.croma.com/asus-vivobook-k15-k513ea-l312ws-intel-core-i3-11th-gen-15-6-inch-8gb-512gb-windows-11-home-ms-office-2021-intel-uhd-fhd-oled-display-indie-black-90nb0sg1-m00bm0-/p/265856']]"
